crop,N,temperature,humidity,rainfall,Area(hectares),yield(t/ha)
rice,25.69,24.58,67.52,182.77,2115.95,13.456362390415654
banana,30.09,35.56,56.25,224.33,346.25,9.028245487364622
maize,68.25,19.57,67.84,243.94,4584.01,14.183023160944238
mango,64.96,14.28,87.86,243.74,842.63,13.33270830613674
chickpea,145.32,10.83,62.85,268.52,711.36,10.225610098965362
coconut,112.17,20.69,83.74,427.35,1242.07,17.28027405862794
mango,90.59,11.18,60.91,227.81,1014.55,11.23986003646937
coconut,36.23,13.92,81.38,441.49,2671.6,14.003189100164697
watermelon,46.42,21.26,48.58,314.93,4319.1,13.469016693292582
maize,81.99,37.79,31.24,331.97,2557.06,10.671263091206308
orange,24.38,26.47,44.25,429.0,2920.45,16.79475765721036
banana,88.42,26.64,71.41,419.64,2275.19,18.51419881416497
mango,72.19,37.5,76.84,103.98,2820.81,9.392518461009423
watermelon,113.55,26.56,57.03,133.71,4296.19,14.637097055763364
muskmelon,115.82,37.92,38.17,227.63,189.33,12.205355728093805
coconut,142.55,11.74,92.26,263.21,3739.75,11.491762818370212
orange,23.58,36.32,93.33,456.01,4237.89,14.973944580911729
muskmelon,137.85,25.2,55.17,267.13,1566.8,17.33315037018126
orange,49.47,31.43,91.91,482.68,601.28,18.691790846194785
watermelon,101.23,33.9,46.28,352.72,4358.36,13.176639837002911
banana,138.92,19.76,91.18,495.66,3009.5,19.51075261671374
apple,30.01,39.06,69.24,345.54,1444.43,10.508678163704714
muskmelon,52.29,32.16,30.89,444.86,1004.36,16.842785455414393
coconut,30.55,28.2,73.74,379.73,2300.11,17.164722556747286
mango,110.54,22.87,65.16,237.1,2788.82,12.865179538299351
coconut,98.73,25.98,37.5,334.14,4353.93,17.27226207127813
coffee,110.65,36.45,77.54,371.59,1117.28,12.5947479593298
lentil,37.37,26.74,68.0,385.59,3624.48,16.966193771244427
chickpea,20.7,13.98,63.26,189.03,3533.73,7.948640671471787
orange,109.81,15.02,62.52,473.76,1871.88,14.135083445520012
coffee,134.61,29.17,91.98,459.6,3431.65,19.221829149243074
lentil,81.74,22.49,40.93,405.23,2763.87,15.564393404899652
coffee,56.19,39.03,58.58,391.68,4865.65,10.739691510897826
banana,82.2,28.52,40.14,368.0,4148.28,16.28808325378229
chickpea,114.25,22.56,59.8,75.64,4113.68,12.006342253165048
watermelon,110.81,33.99,38.01,102.66,3293.83,9.831105430456338
banana,123.48,37.85,94.77,433.84,1399.57,13.100559457547677
coconut,55.5,37.14,72.09,77.04,35.08,8.005416191562144
watermelon,60.8,36.87,89.1,448.06,2018.01,16.19226862106729
rice,115.54,34.93,37.79,243.48,1717.12,8.812424291837496
coffee,64.71,26.4,88.66,102.46,830.38,12.873696379970616
watermelon,126.44,18.89,90.99,305.59,870.89,14.041222197981376
coconut,99.82,23.74,44.72,361.41,273.3,17.59213318697402
muskmelon,70.0,34.25,83.54,221.45,1113.98,10.343776369414172
rice,48.66,31.94,92.28,276.09,1164.59,13.701439991756756
jute,115.09,30.32,57.85,289.08,3764.47,15.246042603606885
lentil,76.39,33.04,62.53,98.43,1193.35,11.00798592198433
lentil,63.47,24.78,58.74,73.08,3764.82,12.250768961065868
lentil,135.19,29.25,46.89,137.05,3488.85,12.594703125671783
chickpea,62.94,22.34,57.79,328.73,2343.73,17.257230995037826
mango,96.96,21.94,82.39,412.49,3170.72,18.03713352172377
apple,118.32,27.44,46.49,326.52,4189.28,14.720126131459343
chickpea,36.42,35.12,38.28,456.22,3426.28,14.233060345330795
banana,91.35,25.43,35.53,304.59,4788.58,13.538568845043834
orange,146.98,12.43,83.93,112.11,2405.44,5.70999900226154
muskmelon,82.2,38.9,37.02,106.5,989.27,9.607983664722472
apple,115.21,38.25,64.43,201.79,3854.53,8.955436849628878
grapes,84.91,14.98,33.97,84.53,2338.97,9.722651423489827
grapes,53.05,12.96,37.57,213.64,219.4,9.761030082041932
orange,133.09,36.36,66.29,127.44,750.32,6.379344812879838
grapes,87.12,11.21,56.35,374.93,894.0,11.7736129753915
chickpea,44.03,28.77,67.15,149.22,3029.4,12.941942298805044
jute,87.41,13.81,38.01,126.45,395.17,10.886681681301718
grapes,36.99,38.97,55.58,361.25,3831.63,12.112330783504673
mango,105.5,32.96,39.31,195.68,3977.34,10.795441174252138
apple,83.13,12.47,69.0,415.58,1344.4,13.691371615590596
apple,103.94,19.95,62.54,357.14,4725.67,15.947209602024689
cotton,110.61,35.17,73.62,97.43,3549.85,6.492367283124639
banana,132.12,12.13,52.74,196.75,1538.44,11.2403148644081
mango,67.99,26.33,93.43,54.82,704.88,12.804051753489956
maize,148.98,17.46,65.0,389.56,4934.61,13.363554566622286
chickpea,121.81,19.61,40.68,184.13,1495.27,15.14421475720104
watermelon,42.34,35.94,37.71,69.23,3806.82,8.388177008631876
coconut,41.78,14.8,74.93,295.05,1972.67,13.32677031637324
orange,38.36,21.77,91.61,130.59,225.07,12.59812502776914
rice,29.4,15.98,56.8,235.9,2591.29,10.671657745755976
coffee,109.88,12.61,61.68,442.68,1090.73,13.033372145260511
jute,117.32,16.12,48.97,295.56,3749.35,16.483353114539852
maize,141.77,22.55,50.11,435.0,3507.32,18.087140608783915
cotton,25.39,15.89,43.76,335.9,2681.39,14.012049720480794
grapes,21.56,20.09,89.83,263.65,193.2,15.220238095238097
banana,24.48,26.96,31.37,241.48,3847.62,14.548377958322288
coffee,103.56,19.13,93.89,177.24,1942.24,14.130812875854684
chickpea,80.69,25.43,85.69,189.82,3754.15,13.998942503629316
lentil,82.47,12.5,86.09,363.72,4833.86,15.052409461589704
cotton,53.12,11.57,59.27,198.15,2289.09,8.002870136167648
mango,20.88,38.46,76.23,71.56,3739.01,7.874394558987539
coconut,37.39,23.81,44.14,429.72,161.47,17.119464916083484
coffee,88.73,29.39,59.79,309.81,4173.28,14.702780546716252
coffee,38.92,14.9,36.78,407.76,3461.3,12.869144541068383
jute,29.79,34.85,70.69,440.6,3251.28,13.75957776629512
cotton,71.73,38.41,47.89,402.92,2323.47,14.239697521379664
muskmelon,33.33,20.29,73.35,75.69,1541.59,12.047729941164642
chickpea,94.46,32.1,62.57,441.21,2474.96,14.674326049713937
coffee,72.15,36.09,42.31,377.35,3768.06,13.333309448363348
apple,111.43,28.55,80.8,310.44,4066.13,15.53160622016512
muskmelon,138.53,32.77,62.54,114.91,1066.45,9.635116508040696
coffee,78.24,32.64,50.12,317.16,3420.31,12.15338083390102
muskmelon,20.48,36.27,47.64,263.33,3124.33,11.322834015612946
lentil,137.79,25.44,76.08,238.52,2003.17,14.526325773648766
lentil,126.09,39.89,60.84,290.66,1814.09,8.785418584524473
cotton,23.79,27.93,78.03,310.2,355.85,14.851341857524238
banana,59.31,23.76,41.81,468.47,755.69,18.0461829586206
orange,72.9,25.27,31.6,95.21,2069.26,13.914998598532808
chickpea,64.01,38.97,52.2,445.73,108.06,14.623635017582824
orange,138.01,24.52,88.34,397.33,2038.25,18.63337667116399
cotton,36.33,34.54,73.38,371.17,4516.92,15.2237608813085
cotton,29.48,38.87,63.69,120.74,3069.45,7.447861994819919
maize,87.71,32.05,86.32,142.94,4672.76,9.99929377926536
grapes,57.75,30.69,87.03,144.71,2242.28,10.099380987209448
chickpea,36.08,17.03,38.03,283.64,1344.96,14.964013799666905
muskmelon,67.65,34.1,39.97,397.78,1760.04,14.142604713529238
maize,74.53,14.77,53.02,487.44,1925.02,17.853705416047625
jute,128.72,28.59,73.13,297.44,2007.65,15.234627549622692
maize,64.32,11.53,86.13,456.36,2315.58,15.252342825555584
jute,42.79,18.05,94.96,364.04,2076.52,14.248155567969487
orange,95.8,26.46,81.76,248.17,4594.55,13.467699774733106
jute,134.61,31.64,91.18,315.86,1348.75,16.69414643188137
rice,70.24,30.91,66.41,210.29,782.66,14.2217693506759
coconut,133.04,38.1,50.04,291.59,654.03,10.376083665886886
muskmelon,132.45,35.77,35.77,358.57,4482.32,13.836212050902212
maize,93.04,30.31,82.21,148.0,3952.76,10.201401046357482
muskmelon,73.96,34.71,85.71,369.01,1168.07,14.493540626845997
jute,94.76,32.37,32.29,449.98,4435.34,17.495434397362995
rice,115.86,29.18,85.48,405.49,3823.62,15.539729366411931
banana,80.48,15.33,89.49,129.01,4814.83,10.57367134457499
coffee,130.58,38.16,82.33,443.64,3648.91,12.146243672768032
cotton,88.49,19.39,36.37,482.73,1435.04,14.587906957297358
rice,64.23,12.49,70.3,276.38,4790.32,10.350911838875064
jute,118.27,24.31,84.27,279.81,3300.19,16.201397495295726
lentil,119.49,28.87,79.59,436.48,3406.03,16.643963793624835
lentil,72.4,28.47,32.57,304.65,1059.28,16.332914810059666
rice,90.3,34.58,53.39,53.19,2239.39,9.026779614091335
lentil,67.08,13.79,84.77,184.17,3214.13,11.176984129453382
banana,49.66,12.2,88.12,456.14,191.76,14.370098039215687
muskmelon,125.14,10.09,30.61,327.6,3666.17,12.108721090402245
watermelon,54.58,14.61,86.09,498.56,4585.64,15.667501155781965
rice,108.02,38.3,63.81,459.87,4499.07,12.935319966126334
rice,29.68,22.97,70.51,214.27,922.79,14.542637003001769
orange,37.04,34.38,65.21,129.39,2529.61,10.25701590363732
coconut,93.55,14.42,69.76,279.1,1343.38,11.20943441170778
rice,26.12,25.96,48.49,103.89,4528.85,13.767068902701569
coffee,94.55,32.14,42.29,146.55,977.01,11.384264234757064
muskmelon,92.37,30.27,80.53,328.81,623.38,15.161586833071322
muskmelon,70.71,18.09,72.56,155.39,3532.89,10.769907922409134
coffee,33.08,24.08,53.9,237.1,1957.98,14.941276213240176
banana,136.58,16.31,31.5,137.05,2305.91,9.600049438182756
grapes,92.47,20.19,76.02,340.14,679.67,14.598231494695955
chickpea,149.86,28.12,86.64,170.54,2191.37,12.204009364005168
coconut,125.71,17.49,87.05,372.4,414.49,16.171656734782502
mango,98.47,18.15,43.83,126.62,3469.98,10.987587824713687
coconut,52.97,16.76,74.29,406.58,1388.43,15.620564234423052
orange,113.61,32.03,54.12,333.7,2445.64,10.59985116370357
muskmelon,66.25,39.23,33.01,452.29,2789.46,11.801155062270116
banana,84.9,26.67,78.08,310.83,870.51,18.182398823678074
watermelon,26.04,21.32,58.91,495.38,4031.23,17.727247018899938
cotton,131.09,13.21,76.76,101.89,1582.93,8.574377894158301
chickpea,66.08,37.18,66.84,473.24,1274.93,12.85030550696901
lentil,22.39,20.56,56.7,461.69,189.1,19.23670015864622
grapes,107.62,34.63,36.0,78.1,2029.18,7.356247351146768
coffee,112.43,18.14,60.65,412.61,3723.19,15.34578681184683
banana,143.69,25.99,90.52,378.69,2780.25,18.02767736714324
grapes,81.79,27.01,66.47,284.08,171.29,14.992001868176777
jute,120.23,13.33,56.41,468.9,24.18,15.959470636889993
coconut,36.35,26.54,53.37,207.45,4490.0,14.15397995545657
mango,25.28,20.8,73.41,357.95,2271.78,16.634696141351714
orange,90.66,15.54,52.17,97.43,305.52,10.655898140874577
jute,75.73,13.33,41.51,456.63,2797.53,11.844641523057838
mango,130.83,15.12,73.09,281.72,2122.96,11.692245732373664
muskmelon,31.89,31.62,79.77,469.46,4639.68,17.043304710669698
coffee,35.13,30.73,81.15,349.3,4635.67,13.561237102727327
muskmelon,74.39,25.62,72.6,206.5,2652.93,14.600924261099994
coffee,75.06,21.09,51.4,119.67,2445.31,10.447194834192802
grapes,147.2,36.84,65.27,158.04,2341.53,10.282973098785837
jute,141.05,10.25,88.42,488.2,2430.81,14.142898869101243
coconut,20.77,10.36,49.06,405.82,132.16,13.802436440677967
lentil,36.53,34.12,81.48,123.98,4494.21,8.920916023060784
grapes,44.04,10.48,37.61,253.52,2184.88,10.012275273699242
watermelon,87.85,18.46,44.22,388.77,2765.28,14.05337614997396
muskmelon,58.86,33.5,52.9,409.22,1469.28,13.767280572797562
rice,102.94,28.2,70.74,389.95,3904.8,17.609639418152017
apple,97.17,14.73,68.63,422.62,3079.92,11.791069248551912
coffee,96.95,26.7,73.0,55.24,2258.18,12.633829012744778
banana,92.06,12.39,57.92,173.74,2986.41,7.503728557030013
coconut,118.89,14.85,37.69,231.04,2665.34,9.772126632999916
watermelon,140.58,22.97,94.46,282.84,2454.24,12.855177162787664
jute,131.5,37.91,53.7,174.25,4125.16,10.602810557651098
cotton,24.51,11.24,54.63,411.11,4271.54,15.060584707154796
rice,111.57,24.79,47.26,244.76,4000.4,15.225392460753923
rice,60.35,34.55,71.66,335.45,934.92,13.232436999957216
muskmelon,78.68,18.74,83.48,226.64,2668.23,13.013829392518636
orange,115.48,37.84,59.52,105.16,2384.95,8.428780477578147
watermelon,138.94,31.12,62.01,364.39,3480.49,13.597404388462545
banana,122.22,15.36,79.75,198.86,2178.94,10.231915518554894
mango,47.26,29.46,77.15,216.45,4027.04,11.546940184353767
jute,119.55,34.29,75.22,201.97,1048.04,10.883277355826117
chickpea,79.87,10.24,30.6,220.11,3637.63,9.089780983772402
maize,50.2,15.01,56.47,185.41,2803.87,8.943684978262189
orange,66.47,39.37,41.21,259.03,1823.23,7.759542131272522
muskmelon,98.33,28.12,73.6,59.42,1136.22,10.62307475664924
watermelon,127.5,22.49,59.31,227.29,230.02,12.9991305103904
rice,52.79,31.39,40.25,208.6,3439.99,10.009270375785976
coconut,39.83,10.68,45.85,422.52,1797.86,12.763201806592283
coffee,98.39,34.02,89.69,174.0,4567.93,11.861166874273469
watermelon,61.33,34.99,94.17,237.36,819.56,9.991483234906536
lentil,50.8,19.82,38.83,470.32,4346.07,14.135048446067367
banana,123.23,34.05,78.64,495.74,1009.75,14.958415449368657
coffee,31.94,28.42,64.57,322.22,4350.83,14.488279247867649
muskmelon,128.81,15.97,35.18,354.7,4121.66,13.217477909386025
chickpea,143.91,29.95,58.53,310.77,629.94,13.725513540972155
grapes,138.59,32.08,39.89,53.7,4547.43,9.863318401822568
watermelon,67.81,24.08,37.58,330.42,1504.97,16.800760148042816
jute,64.33,25.36,38.9,259.6,3500.73,15.86334850159824
chickpea,49.51,22.5,79.22,372.28,3065.43,17.667097275096808
watermelon,51.36,27.67,76.85,222.27,4141.28,14.53985241278059
lentil,114.59,22.82,70.73,393.19,333.52,15.311345646437996
coffee,90.93,17.81,31.2,484.26,3628.23,16.401887421690468
banana,147.18,30.32,61.46,192.47,46.03,14.078427112752552
watermelon,45.06,18.93,89.33,237.82,3230.14,11.718204164525378
coconut,52.99,22.68,82.03,405.57,410.88,16.273899922118378
coffee,123.41,11.59,45.8,334.85,2961.63,11.28012952326928
orange,128.55,31.87,91.91,497.2,2385.15,14.257614825063412
orange,30.7,17.57,56.96,386.48,3676.19,15.764862534308618
jute,104.1,19.81,58.76,300.23,616.72,16.927276559865092
lentil,97.59,38.59,33.52,391.46,3744.5,12.63099212177861
muskmelon,29.5,13.82,72.22,260.59,2722.53,11.511836416862256
jute,55.3,15.76,44.62,256.93,1723.67,11.49313963809778
watermelon,61.73,24.31,40.47,355.04,59.21,18.16213477453133
mango,47.08,35.14,64.14,344.12,4811.83,11.711521396225551
jute,147.87,24.11,59.82,359.38,1461.05,13.066027856678415
rice,73.75,17.77,34.53,343.17,2119.21,15.647618688096031
coconut,37.71,19.5,78.73,346.72,478.61,14.365245189193708
mango,49.77,14.96,80.52,137.83,1131.5,11.54943879805568
grapes,135.54,33.14,30.14,273.08,4998.18,13.317331508669154
cotton,22.41,30.14,46.41,138.28,3361.61,13.94938734713426
lentil,112.55,30.25,93.64,354.65,670.33,15.037742604388882
cotton,64.14,28.18,91.72,416.33,680.81,15.556307927321868
muskmelon,70.35,21.24,35.25,469.47,510.16,18.371726517171084
banana,46.32,10.17,72.34,153.5,4212.41,12.066484506493907
coffee,47.92,10.76,78.76,196.17,2978.63,9.083662623420834
maize,22.01,24.07,84.02,117.22,2836.67,12.806766384528338
grapes,140.14,28.26,46.55,475.34,3995.87,18.53710456045868
cotton,68.4,22.67,46.42,252.2,2981.44,16.257311902973058
grapes,48.2,26.43,78.31,55.97,3977.49,12.74441419085906
banana,109.52,13.16,79.98,396.25,2356.47,8.838406599702097
watermelon,76.36,14.86,78.07,415.53,3912.63,14.701696812629867
jute,95.9,37.16,81.71,375.71,163.62,13.1681945972375
jute,58.21,18.25,84.27,67.3,911.18,9.793322943874974
maize,61.26,30.05,44.83,204.51,2945.66,14.64743385183626
jute,98.55,19.0,48.31,112.45,577.67,10.597347966832276
rice,37.14,10.34,59.77,69.05,3656.23,9.63949204508469
orange,143.12,23.65,53.15,320.95,3900.25,17.464334337542468
banana,75.75,27.69,80.0,388.02,4611.24,14.425319436854297
banana,78.83,26.36,39.57,195.27,3443.04,15.13845613179051
coffee,35.55,25.18,55.91,311.5,967.46,16.326545800343165
orange,53.82,25.91,75.77,391.04,1884.77,16.19414039909379
coconut,144.77,13.51,49.46,94.49,4504.62,9.37123220160635
muskmelon,56.08,34.79,47.37,226.95,3792.79,9.55264857795976
banana,40.07,22.05,83.95,431.86,3228.71,16.598542451939007
orange,74.04,38.21,49.09,267.14,3807.94,9.746054297074007
coffee,65.51,13.58,80.9,92.86,1008.33,9.827110172265032
mango,59.21,12.19,60.05,95.89,2265.62,11.425300800663836
orange,118.66,24.39,82.76,194.4,4807.72,13.09810679490486
jute,65.69,21.33,81.26,412.54,4750.28,18.020762986602897
mango,64.58,32.82,61.56,82.12,586.63,10.692531919608612
jute,119.85,35.69,75.14,60.12,3498.9,8.653096687530367
jute,68.34,38.51,94.92,323.91,4449.57,12.389176931703512
coconut,41.35,26.02,44.19,327.6,1554.75,15.46143753014954
banana,69.91,26.11,66.47,57.15,992.09,9.852422663266436
coconut,27.79,32.6,79.45,123.93,3842.69,11.563605182827654
watermelon,63.24,38.08,86.4,312.4,3774.81,10.99490570386324
muskmelon,106.08,29.18,59.09,440.83,4084.71,16.967892457481682
coffee,25.52,36.07,42.69,58.22,764.7,9.354923499411534
banana,134.07,17.27,45.82,108.78,4031.71,11.284782387622126
coffee,81.27,31.0,30.4,103.9,700.83,10.468986772826504
coconut,115.85,15.3,36.66,193.15,3434.39,10.128421641106572
grapes,127.41,35.79,90.1,157.82,653.4,9.791414141414142
cotton,145.76,22.18,32.02,368.47,4190.32,16.507221405525115
jute,93.47,11.81,78.69,247.77,4871.47,11.34815979570848
mango,130.64,26.31,45.49,444.58,2724.03,15.90804066034515
mango,91.4,26.99,69.79,332.35,1451.68,16.407279841287334
coconut,113.96,15.58,37.22,241.95,1492.43,13.307699523595748
muskmelon,42.77,38.83,73.56,320.62,4262.66,10.714990170456945
maize,66.22,17.71,85.26,259.98,2333.44,12.263383673889193
banana,116.26,17.26,58.39,334.73,4951.29,11.198758303391642
lentil,81.07,22.31,94.25,242.35,67.05,18.35466070096943
banana,46.13,14.21,68.18,486.21,2164.2,14.480440809537011
chickpea,28.72,38.36,86.21,430.64,1756.49,11.931095537122328
grapes,39.84,11.51,69.56,334.9,1693.27,11.498750937535066
apple,87.29,23.27,66.17,306.75,1332.81,16.545524118216402
banana,25.53,27.3,83.71,119.82,3085.31,12.296767585753132
coffee,31.16,26.79,53.29,406.04,2842.0,18.213099929627024
rice,63.67,34.13,43.46,406.81,1139.09,15.477749782721297
apple,22.15,35.2,82.44,394.47,2715.06,14.009590948266336
banana,80.39,36.72,52.21,334.99,4363.34,11.233610032681383
cotton,59.83,22.45,81.95,183.32,3133.24,12.895823492614674
mango,26.2,27.49,34.52,434.89,1231.06,17.80667879713418
muskmelon,76.56,31.57,86.94,230.61,1244.25,13.115467148884871
orange,91.56,15.03,73.02,121.21,1648.08,10.014774768215135
grapes,85.96,10.62,32.05,127.6,3068.94,7.837829999934831
cotton,62.3,36.24,43.87,217.99,4186.67,13.547953385387432
mango,96.26,14.85,83.49,189.18,1301.17,8.815320058101554
orange,20.33,18.93,33.61,316.62,1443.89,14.63321305639626
banana,47.72,22.72,66.18,331.41,399.47,15.371417127694194
coconut,30.43,12.16,47.44,483.23,3975.7,14.321118293633829
coffee,122.22,27.23,82.85,318.3,4320.7,12.216622306570695
mango,89.38,23.56,83.14,410.31,3163.64,18.26987583922317
watermelon,46.86,33.91,74.31,367.44,4508.31,16.534670419735995
muskmelon,77.69,13.57,50.27,64.09,3020.69,9.153213338674275
jute,147.47,10.3,74.8,215.9,4738.78,9.172584504872562
lentil,105.63,35.03,39.76,128.68,4559.84,13.087621495491067
maize,126.71,18.24,32.11,314.04,220.92,12.663814955640053
grapes,54.94,21.45,62.93,89.42,3868.01,10.990633426490623
rice,59.19,23.85,43.31,198.38,282.07,15.847165597192188
banana,30.78,19.01,58.21,417.41,4623.61,20.45749317092056
maize,85.11,12.99,49.92,311.8,1788.4,12.82484343547305
rice,20.76,13.56,86.6,157.52,3484.19,7.445486612383366
banana,76.29,31.79,43.48,115.56,3019.91,11.675818153521131
orange,136.55,22.94,86.54,495.99,1584.71,19.08160483621609
chickpea,95.55,30.05,76.6,196.46,3736.38,12.662052574952224
grapes,60.71,21.38,84.48,460.21,3265.21,17.334174524762574
apple,104.71,27.14,45.96,198.1,1744.15,15.797368345612474
cotton,109.7,16.6,84.36,470.06,3775.87,15.576253949420927
watermelon,57.83,13.24,90.78,197.87,1319.66,10.109126593213404
rice,119.67,14.0,43.28,119.19,3364.02,8.733925482012591
watermelon,20.18,23.48,45.71,356.81,2603.52,16.638285859144542
banana,140.39,39.94,88.5,391.09,3725.76,12.35739285407541
chickpea,95.57,35.96,57.96,82.84,3781.81,8.833270312363657
banana,60.44,10.03,88.13,471.62,2476.43,11.517494942316157
jute,52.53,37.76,66.3,94.85,3160.13,6.72172030897463
lentil,141.99,26.49,74.2,403.36,3287.47,17.12601483815822
coconut,36.54,24.21,81.88,484.66,68.02,19.20141134960306
maize,37.03,14.83,57.71,175.58,2565.4,12.465058080611213
cotton,123.84,31.71,73.53,448.16,1535.95,17.026706598522086
watermelon,79.29,31.34,39.6,403.7,3328.51,13.100276099516
grapes,26.27,36.86,79.44,375.91,3419.97,11.25296420728837
muskmelon,69.29,32.75,51.75,286.11,551.55,12.74981416009428
grapes,71.58,32.86,36.47,68.09,3045.84,12.674766238541748
chickpea,48.18,18.28,52.8,418.75,754.82,17.498754669987544
cotton,39.01,14.4,84.66,345.53,2331.74,15.539120999768416
coffee,80.73,22.44,58.18,62.96,1407.14,11.318113336270732
mango,86.47,26.12,60.5,367.34,1753.63,16.807753060793896
coffee,120.05,17.43,36.76,54.41,4633.39,10.520974923328277
cotton,48.12,33.33,93.48,463.27,4078.99,15.559268348292102
lentil,22.37,37.89,86.38,154.86,3965.58,9.366385245033516
mango,51.27,13.97,37.42,112.14,770.51,10.672982829554453
jute,75.66,20.56,36.13,172.26,2287.99,12.336837136525949
muskmelon,24.96,33.2,33.38,64.23,4634.3,8.596143969963101
watermelon,76.91,28.38,82.4,68.23,154.9,9.659715945771463
banana,149.46,26.4,35.74,68.06,3537.49,14.45687761661517
coconut,113.25,39.6,89.27,352.52,250.53,10.412685107571948
muskmelon,35.04,23.28,65.85,306.83,4918.47,16.585724829062695
chickpea,95.25,15.45,92.67,279.76,2126.02,11.737184974741536
coconut,28.66,10.62,93.5,208.04,1106.03,11.951140565807435
banana,60.8,17.39,86.14,280.83,1583.13,14.49927043262398
banana,44.8,21.14,83.91,479.4,3808.74,17.234316335586048
cotton,149.29,16.11,71.86,222.34,667.54,13.006082032537376
banana,107.98,13.76,40.44,486.2,4662.81,16.46432944940926
jute,123.26,34.74,83.06,274.25,1103.14,11.88529107819497
grapes,75.6,25.57,82.68,253.4,4020.74,17.79777851838219
rice,123.76,16.91,67.66,211.6,1128.62,11.234791160886749
maize,45.5,31.9,78.7,425.99,2003.01,18.634260438040748
lentil,115.99,22.47,54.98,137.4,2105.34,12.297548139492909
watermelon,139.5,21.88,68.1,199.03,948.98,12.099612215220551
rice,66.29,35.0,74.69,460.7,3263.25,15.79414387497127
mango,89.74,30.22,45.72,415.2,672.08,14.486995595762409
banana,118.23,17.51,87.74,429.1,3360.77,15.960925621211803
coconut,79.18,14.37,51.6,212.44,4260.68,12.74690190298262
orange,132.13,21.89,39.99,408.4,231.57,19.31467806710714
orange,147.97,12.03,41.14,141.42,2524.79,8.349169633910147
mango,128.17,30.65,47.7,136.74,3536.37,13.339783450261145
banana,59.45,27.79,61.93,230.07,2290.44,11.95091772759819
orange,88.4,34.36,44.67,123.4,2007.9,7.334344339857562
coconut,132.34,37.65,57.16,167.73,2350.02,12.43660479485281
coconut,49.48,12.44,74.75,465.14,608.22,12.93518792542172
